Search Company,Closest Company 1,Closest Company 2,Closest Company 3,Closest Company 4,Closest Company 5
sony,KDDI,Fairfax Financial,SAIC Motor,Hon Hai Precision,Formosa Petrochemical
cisco systems,Enbridge,3M,PepsiCo,ENGIE,Repsol
tencent holdings,Samsung SDI,Towngas,China Communications Construction,Larsen & Toubro,Nokia
honda motor,Suzuki Motor,Nissan Motor,Mitsubishi Electric,JXTG Holdings,Panasonic
enel,Enel,Tesco,BASF,Deutsche Telekom,Boeing
united technologies,United Parcel Service,Archer Daniels Midland,Repsol,ENGIE,FedEx
commonwealth bank,TD Bank Group,Canadian Imperial Bank,Raiffeisen Bank International,ANZ,Standard Bank Group
china state construction engineering,Ping An Insurance Group,China Railway Construction,China Mobile,Huaneng Power International,Metallurgical Corp of China
dowdupont,VF,Phillips 66,Orange,Grupo Inbursa,Valero Energy
equinor,Equinor,Indian Oil,Anheuser-Busch InBev,Eni,América Móvil
american express,American Express,Charter Communications,Johnson Controls International,Humana,Allstate
metlife,MetLife,Deutsche Post,Zurich Insurance Group,Freddie Mac,Humana
axa group,AXA Group,Fannie Mae,Allianz,Brookfield Asset Management,Deutsche Telekom
pepsico,ENGIE,Cisco Systems,Repsol,Enbridge,Archer Daniels Midland
bank of nova scotia,Lloyds Banking Group,Credit Agricole,VTB Bank,NAB - National Australia Bank,Goldman Sachs Group
roche holding,Bouygues,TJX Cos,Iberdrola,Generali Group,Banca MPS
ing group,Barclays,Aviva,Société Générale,Standard Chartered,RBC
lloyds banking group,Bank of Nova Scotia,NAB - National Australia Bank,VTB Bank,Bank of Montreal,Goldman Sachs Group
eni,Eni,Boeing,Equinor,Gazprom,Tesco
oracle,Sekisui Chemical,Qualcomm,Intel,Kweichow Moutai,TE Connectivity
china citic bank,Bank of Communications,CITIC,CNOOC,China Cinda Asset Management,New World Development
china evergrande group,China Vanke,Agricultural Bank of China,Uniper,Mizuho Financial,AIA Group
ubs,Expeditors International,UBS,Vodafone,Magnit,PNC Financial Services
airbus,EDF,Rosneft,Rio Tinto,VF,General Dynamics
lukoil,Petrobras,Generali Group,Bouygues,Grupo ACS,Roche Holding
prudential financial,Prudential Financial,Prudential,Expeditors International,Daito Trust Construction,Power Corp of Canada
basf,BASF,Enel,Deutsche Telekom,Tesco,Alibaba
saic motor,Hon Hai Precision,Nippon Telegraph & Tel,SK Holdings,KDDI,Sony
westpac banking group,ANZ,Royal Bank of Scotland,Bank of Montreal,Erste Group Bank,NAB - National Australia Bank
british american tobacco,British American Tobacco,New Residential Investment,Henkel,Power Assets Holdings,RWE Group
us bancorp,RBC,Barclays,Commerzbank,BB&T,ING Group
credit agricole,Bank of Nova Scotia,Lloyds Banking Group,NAB - National Australia Bank,VTB Bank,Goldman Sachs Group
china life insurance,Expeditors International,China Life Insurance,People's Insurance,Reliance Industries,Poly Developments & Holdings Group
unilever,Johnson & Johnson,Caterpillar,Pfizer,Facebook,Sanofi
glencore international,Glencore International,Alphabet,Gazprom,AT&T,Boeing
mitsubishi,Hyundai Motor,Itochu,JXTG Holdings,Baoshan Iron & Steel,Carrefour
bhp group,BHP Group,Oil & Natural Gas,BASF,Telefónica,Roper Technologies
ford motor,Chevron,Fiat Chrysler Automobiles,Volkswagen Group,Nestle,Daimler
rio tinto,General Dynamics,EDF,AstraZeneca,Vienna Insurance Group,AIRBUS
prudential,Prudential,Prudential Financial,Legal & General Group,Daito Trust Construction,Ameriprise Financial
aia group,China Vanke,China Everbright Bank,Uniper,China Resources Land,China Evergrande Group
china minsheng banking,China Merchants Bank,Cathay Financial,CITIC,Bank Of Shanghai,China Cinda Asset Management
sanofi,Axis Bank,Exelon,Nike,Inditex,Unilever
deutsche telekom,Deutsche Telekom,Siemens,Tesco,Enel,BASF
zurich insurance group,Zurich Insurance Group,MetLife,Deutsche Post,Talanx,Charter Communications
brookfield asset management,Brookfield Asset Management,Alibaba,Talanx,Aegon,CRRC
merck & co.,Grupo Inbursa,Raytheon,Orange,AutoZone,Femsa
anz,Westpac Banking Group,Royal Bank of Scotland,Bank of Montreal,Canadian Imperial Bank,NAB - National Australia Bank
caterpillar,Pfizer,Unilever,Facebook,Johnson & Johnson,Tyson Foods
saudi basic industries,Walt Disney,Volvo Group,Sanofi,Fastighets Balder,Inditex
hon hai precision,SAIC Motor,SK Holdings,Nippon Telegraph & Tel,Samsung Electronics,Sony
china vanke,Uniper,China Resources Land,AIA Group,China Evergrande Group,Country Garden Holdings
mizuho financial,Samsung Life Insurance,Orix,Sunac China Holdings,Fubon Financial,Mahindra & Mahindra
cnooc,Synnex Technology Intl,New World Development,Huaneng Power International,China Galaxy Securities,China Longyuan Power
home depot,Generali Group,Costco Wholesale,Roche Holding,TJX Cos,Iberdrola
taiwan semiconductor,Aisin Seiki,BDO Unibank,Midea Group,Universal Entertainment,Old Mutual
country garden holdings,Mitsubishi UFJ Financial,China Vanke,Bank Leumi,Sumitomo Mitsui Financial,Total System Services
capital one financial,Capital One Financial,UniCredit,Manulife,Credit Suisse Group,American International Group
intesa sanpaolo,PKN Orlen,NN Group,Cheniere Energy,Southwest Airlines,VINCI
nissan motor,Suzuki Motor,Honda Motor,Chubu Electric Power,Cosmo Energy Holdings,JXTG Holdings
coca-cola,Suncor Energy,Amgen,Bayer,Eli Lilly,Top Frontier Investment Holdings
bank of montreal,ANZ,Lloyds Banking Group,NAB - National Australia Bank,VTB Bank,Westpac Banking Group
bbva-banco bilbao vizcaya,Keppel,Geberit,Xiamen C&D,China Coal Energy,NN Group
walgreens boots alliance,Walgreens Boots Alliance,Siemens,Verizon Communications,Freddie Mac,AT&T
chubb,Chubb,Medtronic,Fukuoka Financial Group,Cigna,Travelers
nab - national australia bank,VTB Bank,Lloyds Banking Group,Bank of Montreal,ANZ,Huaxia Bank
vale,Saint-Gobain,Novartis,ArcelorMittal,PVH,Michelin Group
china pacific insurance,China Pacific Insurance,CTBC Financial,Power Corp of Canada,Expeditors International,St. James's Place
anthem,Anthem,Humana,American Express,MetLife,Walgreens Boots Alliance
telefónica,Telefónica,Lockheed Martin,Oil & Natural Gas,Eni,América Móvil
christian dior,Heineken,Bristol-Myers Squibb,Kraft Heinz Company,ITC,Qurate Retail Group
generali group,Petrobras,Home Depot,Roche Holding,Costco Wholesale,LukOil
iberdrola,Moody's,TJX Cos,ZTE,OMV Group,Delta Air Lines
pnc financial services,Alexandria Real Estate Equities,PNC Financial Services,Galp Energia,Lear,Daito Trust Construction
glaxosmithkline,GlaxoSmithKline,Honeywell International,Møller-Maersk,New Residential Investment,Lockheed Martin
munich re,Munich Re,Indian Oil,Anheuser-Busch InBev,United Continental Holdings,American Airlines Group
cigna,Cigna,Sysco,Lockheed Martin,Target,Progressive
medtronic,Medtronic,Chubb,Travelers,Fukuoka Financial Group,Sino Biopharmaceutical
china everbright bank,AIA Group,Shimao Property Holdings,Fubon Financial,Samsung Life Insurance,CK Hutchison
china shenhua energy,Franklin Resources,Suning.com,Toyota Tsusho,Sompo,Guangzhou Automobile Group
honeywell international,Honeywell International,GlaxoSmithKline,New Residential Investment,Sysco,Progressive
banco do brasil,Sberbank,Huaxia Bank,Westpac Banking Group,Shinhan Financial Group,Danske Bank
people's insurance,Expeditors International,People's Insurance,HSBC Holdings,China Life Insurance,Postal Savings Bank Of China (PSBC)
unicredit,UniCredit,Capital One Financial,Credit Suisse Group,Manulife,American International Group
ck hutchison,Fubon Financial,Samsung Life Insurance,Legend Holding,Mizuho Financial,Bharat Petroleum
société générale,Aviva,ING Group,Standard Chartered,Barclays,Santander
conocophillips,China Southern Airlines,Ecopetrol,Qatar Islamic Bank,Bouygues,ITC
united parcel service,FedEx,United Technologies,Archer Daniels Midland,General Electric,ENGIE
vinci,Intesa Sanpaolo,Cheniere Energy,PKN Orlen,TJX Cos,Grupo ACS
visa,Visa,Air France-KLM,North Pacific Bank,Magnit,Poste Italiane
tokio marine holdings,PTT PCL,Fortive,Xiaomi,LG Chem,SK Innovation
bayer,Sanofi,Coca-Cola,Volvo Group,Suncor Energy,Caterpillar
ptt pcl,Tokio Marine Holdings,Softbank,China National Building,Xiaomi,AvalonBay Communities
manulife,Manulife,Capital One Financial,UniCredit,American International Group,Travelers
abbvie,Mondelēz International,Altria Group,Electronic Arts,L'Oréal,Adidas
china telecom,Metallurgical Corp of China,China Railway Construction,China Mobile,China Tower Corp.,CMS Energy
phillips 66,DowDuPont,Kroger,Valero Energy,Lowe's,Nestle
kddi,Fairfax Financial,Formosa Petrochemical,Sony,LG Electronics,AvalonBay Communities
fiat chrysler automobiles,Ford Motor,EDF,VF,BMW Group,EXOR
marathon petroleum,Archer Daniels Midland,ENGIE,General Motors,FedEx,Magna International
costco wholesale,Home Depot,Generali Group,VINCI,Petrobras,TJX Cos
enbridge,Magna International,E.ON,Cisco Systems,3M,KT
amgen,Eli Lilly,Coca-Cola,Kimberly-Clark,Top Frontier Investment Holdings,Reckitt Benckiser Group
sap,China Resources Cement Holdings,Carlsberg,Iida Group Holdings,Maroc Telecom,Central Bank of India
bank of new york mellon,State Street,Bank of Montreal,Lloyds Banking Group,Bank of Nova Scotia,VTB Bank
broadcom,National Grid,Towngas,Nokia,TELUS,Eiffage
sk hynix,Fortescue Metals Group,Yonghui Superstores,New York Community Bancorp,Toray Industries,Texas Instruments
china communications construction,JD.com,Tencent Holdings,TCL,United Parcel Service,Larsen & Toubro
lockheed martin,Lockheed Martin,Telefónica,British American Tobacco,Honeywell International,Sysco
itochu,Hyundai Motor,Tokyo Electric Power,KIA Motors,Carrefour,Aeon
duke energy,Adidas,Mondelēz International,JM Smucker,Electronic Arts,H&M - Hennes & Mauritz
