Search Company,Closest Company 1,Closest Company 2,Closest Company 3,Closest Company 4,Closest Company 5
lafargeholcim,Exelon,Associated British Foods,Inditex,Danone,Axis Bank
henkel,Henkel,Power Assets Holdings,RWE Group,British American Tobacco,Guotai Junan Securities
posco,TransDigm Group,Daiwa House Industry,Leonardo,Denso,Sony
natixis,Natixis,KBC Group,Banorte,Samsung Securities,Ageas
mitsubishi electric,Hyundai Mobis,Panasonic,Gree Electric Appliances,American Water Works,Mitsubishi Heavy Industries
bridgestone,Kansai Electric Power,Japan Tobacco,Daiwa Securities,Kirin Holdings,Seven & I Holdings
archer daniels midland,ENGIE,Repsol,United Technologies,FedEx,Magna International
sun hung kai properties,Beijing Enterprises,Saudi British Bank,LabCorp,Cielo,CNPC Capital
toshiba,Hyundai Mobis,Aisin Seiki,BDO Unibank,Worldpay,Old Mutual
surgutneftegas,Ulta Beauty,Tokyo Gas,Kobe Steel,Grupo ACS,Hertz Global Holdings
poste italiane,Poste Italiane,North Pacific Bank,Visa,Air France-KLM,Magnit
hdfc,HDFC Bank,Standard Bank Group,Raiffeisen Bank International,Athene Holding,Sandvik
first abu dhabi bank,Next,Al Rajhi Bank,Vingroup,Qatar National Bank,National Commercial Bank
mastercard,Mastercard,Yum China Holdings,Discover Financial Services,Marsh & McLennan,KBC Group
kinder morgan,Coca-Cola European Partners,Conagra Brands,Corning,Adobe,Kuwait Finance House
new china life insurance,Poly Developments & Holdings Group,Samsung Fire & Marine,SingTel,Gallagher,Expeditors International
dnb,DNB,Airports of Thailand,Frasers Property Limited,China Agri-Industries,GPT Group
suntrust banks,BB&T,US Bancorp,Barclays,Svenska Handelsbanken,Red Hat
danske bank,Royal Bank of Scotland,Erste Group Bank,Westpac Banking Group,Sberbank,ANZ
discover financial services,Discover Financial Services,Yum China Holdings,Charles Schwab,Verisk Analytics,Cleveland-cliffs
bce,BCE,Jiangsu Zhongnan Construction Group,Diageo,Bangkok Bank,Guotai Junan Securities
canadian natural resources,Richemont,China Southern Airlines,Ryanair Holdings,Ecopetrol,Torchmark
caixabank,Norsk Hydro,Canadian National Railway,Sonova Holding,Sany Heavy Industry,Konica Minolta Business Solutions
csx,Wens Foodstuff Group,China Huarong Asset Management,Coal India,China Resources Pharmaceutical Group,Assurant
longfor group holdings,Fosun International,BPER Banca,Sino-Ocean Group Holding,Raymond James Financial,FleetCor Technologies
bank of shanghai,China Cinda Asset Management,Hana Financial Group,Credicorp,China Minsheng Banking,CK Asset Holdings
macquarie group,Expeditors International,Shanghai Pharmaceuticals,Ctrip.com International,Grupa PZU,Motorola Solutions
fubon financial,Samsung Life Insurance,Orix,CK Hutchison,Mizuho Financial,Sunac China Holdings
marubeni,Hitachi,Kirin Holdings,Japan Tobacco,Central Japan Railway,Beijing Capital Development
starbucks,HeidelbergCement,JG Summit Holdings,Southern Company,Associated British Foods,Exelon
fannie mae,Fannie Mae,Allianz,AXA Group,Brookfield Asset Management,Siemens
samsung life insurance,Fubon Financial,Mizuho Financial,CK Hutchison,Sunac China Holdings,Orix
tyson foods,Pfizer,Best Buy,Facebook,Caterpillar,Unilever
becton dickinson,Bankia,Allergan,Consolidated Edison,Illinois Tool Works,KT
automatic data processing,VMware,Union Bank of India,CBRE Group,Persimmon,Hakuhodo DY Holdings
humana,Humana,American Express,Charter Communications,Anthem,MetLife
standard chartered,ING Group,Barclays,KB Financial Group,DBS,Link REIT
imperial brands,AstraZeneca,Nutrien,Evonik,Hess,Tatneft
richemont,Canadian Natural Resources,Torchmark,Kering,Devon Energy,Anadarko Petroleum
eaton,Eaton,Halliburton,RTL Group,Shin Kong Financial,Rite Aid
kering,Torchmark,SGS,Richemont,Qurate Retail Group,Cosco Shipping
bank rakyat indonesia (bri),Bank Mandiri,YPF,Comerica,Discovery,Huaxia Bank
couche tard,Peugeot,Saint-Gobain,Vale,Duke Energy,JM Smucker
saudi telecom,Shiseido,Future Land Development Holdings,Larsen & Toubro,Towngas,Public Storage
stryker,DGB Financial Group,TE Connectivity,Boston Scientific,Qualcomm,Ferguson
freddie mac,Freddie Mac,Deutsche Post,Siemens,MetLife,Talanx
daiwa house industry,Leonardo,Denso,Fidelity National Information,Korea Electric Power,KIA Motors
heineken,Bristol-Myers Squibb,Kraft Heinz Company,ITC,SGS,Qurate Retail Group
booking holdings,Booking Holdings,Owens Corning,Netflix,Verbund,JSW Steel
nn group,Southwest Airlines,Intesa Sanpaolo,Nippon Express,Stora Enso,Geberit
ameriprise financial,Ameriprise Financial,Legal & General Group,Daito Trust Construction,Prudential,Sharp
american airlines group,American Airlines Group,United Continental Holdings,International Airlines,Compass Group,GlaxoSmithKline
tata consultancy services,Tata Consultancy Services,Jiangsu Zhongnan Construction Group,China Resources Pharmaceutical Group,Diageo,BCE
mitsui fudosan,Anta Sports Products,Seiko Epson,NEXON,Schroders,Cardinal Health
novo nordisk,Associated British Foods,Stanley Black & Decker,Evonik,Hess,International Paper
takeda pharmaceutical,Fast Retailing,B3,China Gezhouba,Manpower,Bunzl
maybank,PG&E,ICICI Bank,Woori Financial Group,Oversea-Chinese Banking,United Overseas Bank
china merchants shekou industrial zone holdings,Hyundai Marine & Fire,Bawag Group,FleetCor Technologies,Mettler-Toledo International,CNPC Capital
norfolk southern,Bank of Chongqing,BYD,Haitong Securities,Canadian Natural Resources,Anadarko Petroleum
power construction corporation of china,Sumitomo Mitsui Financial,Mitsubishi UFJ Financial,Mylan,Mizuho Financial,Sumitomo Mitsui Trust
michelin group,Adidas,VakifBank,Duke Energy,JM Smucker,Saint-Gobain
essilorluxottica,Oneok,Dexus,Chongqing Changan Auto,Wintrust Financial,Nutrien
etisalat,Etisalat,STMicroelectronics,Unisplendour,Frasers Property Limited,CIT Group
crh,CRH,CRRC,Aegon,Compal Electronics,HNA Technology
lincoln national,Shenzhou International Group Holdings,Lam Research,Diamondback Energy,Kellogg,Pernod Ricard
transneft,Telenor,Telkom Indonesia,Unipol Gruppo,Vivendi,Masco
canadian national railway,Norsk Hydro,CaixaBank,Konica Minolta Business Solutions,Frontier Communications,Nippon Express
general electric,United Parcel Service,FedEx,United Technologies,Comcast,Amazon
hyundai mobis,Gree Electric Appliances,American Water Works,Toshiba,Aisin Seiki,Sumitomo Electric
erste group bank,National Bank of Canada,Royal Bank of Scotland,Westpac Banking Group,ANZ,Danske Bank
swiss life holding,Swiss Life Holding,Lennar,Ageas,Marsh & McLennan,Shanghai International Port
asml holding,Willis Towers Watson,Texas Instruments,Chow Tai Fook Jewellery,TE Connectivity,Ferguson
komatsu,Bank of Jiujiang,Cardinal Health,Tahoe Group,Taiwan Cooperative Financial,Emaar Properties
suzuki motor,Cosmo Energy Holdings,Crown Castle International,Noble Energy,Mitsubishi Electric,Accor
tjx cos,Iberdrola,ZTE,PKN Orlen,Cheniere Energy,Moody's
power corp of canada,Power Corp of Canada,Expeditors International,Prudential,Legal & General Group,Daito Trust Construction
southwest airlines,Cheniere Energy,NN Group,Intesa Sanpaolo,Schlumberger,GAIL India
telstra,Public Storage,CarMax,National Grid,eBay,Maanshan Iron & Steel
icici bank,Woori Financial Group,Maybank,Oversea-Chinese Banking,United Overseas Bank,PG&E
freeport-mcmoran,Marriott International,Cosco Shipping,SGS,Kering,Dominion Resources
texas instruments,TE Connectivity,Suncorp Group,ASML Holding,Willis Towers Watson,DGB Financial Group
sompo,Fanuc,Dongfeng Motor Group,TDK,Aeon,Bandai Namco Holdings
principal financial group,Lear,London Stock Exchange,PNC Financial Services,Alexandria Real Estate Equities,Public Bank
shin-etsu chemical,Proximus,Valeant Pharmaceuticals,Bank of Jiujiang,Tahoe Group,Taiwan Cooperative Financial
anhui conch cement,Fortum,Inchcape,Orix,Showa Denko,Sunac China Holdings
hartford financial services,Hartford Financial Services,Marsh & McLennan,BlackRock,Shin Kong Financial,Swiss Life Holding
singtel,Samsung Fire & Marine,Ameren,Poly Developments & Holdings Group,Expeditors International,Unicharm
cvs health,CVS Health,AT&T,Verizon Communications,Berkshire Hathaway,Walgreens Boots Alliance
marriott international,Freeport-McMoRan,Invitation Homes,Mapfre,Mirae Asset Daewoo,CP All
amerisourcebergen,Nomura,McKesson,Amazon,Comcast,Dell Technologies
deutsche lufthansa,Renesas Electronics,Delta Air Lines,Banco Bradesco,Moody's,Stora Enso
tokyo electric power,KIA Motors,Itochu,Denso,Hyundai Motor,Idemitsu Kosan
standard bank group,Raiffeisen Bank International,HDFC,HDFC Bank,Athene Holding,AGC
fosun international,Longfor Group Holdings,BPER Banca,Sino-Ocean Group Holding,Raymond James Financial,FleetCor Technologies
seb ab,CIT Group,Swedbank,Sampo,C.H. Robinson,STMicroelectronics
naspers,L3 Technologies,Reinsurance Group of America,J.B. Hunt Transport Services,Simon Property Group,Tata Motors
kweichow moutai,Yuexiu Property Co.,Banque Centrale Populaire,Shoprite Holdings,Eurobank Ergasias,Continental Resources
national commercial bank,Qatar National Bank,First Abu Dhabi Bank,Shinsei Bank,Oversea-Chinese Banking,Next
bank of jiangsu,Taishin Financial Holdings,Masraf Al Rayan,Resona Holdings,CenturyLink,Saudi Arabian Mining
biogen,Segro,Tokyo Electron,Illinois Tool Works,The Estée Lauder Companies,CEZ Group
suning.com,Weichai Power,China Shenhua Energy,Franklin Resources,Fox,Fortive
bouygues,Roche Holding,Banca MPS,Anglo American,ConocoPhillips,OMV Group
wilmar international,CNH Industrial,United Technologies,Safran,E-mart,Brambles
xiaomi,Fortive,AvalonBay Communities,Geely Automobile Holdings,Baidu,Siam Cement
magna international,Enbridge,E.ON,Repsol,Archer Daniels Midland,ENGIE
international airlines,International Airlines,Carnival,United Continental Holdings,American Airlines Group,Compass Group
femsa,Southern Company,Raytheon,Occidental Petroleum,International Paper,AutoZone
adidas,Duke Energy,Mondelēz International,JM Smucker,L'Oréal,Michelin Group
netflix,Netflix,Booking Holdings,Verbund,JSW Steel,Rite Aid
philips,American Electric,Garmin,Inditex,First Citizens Bank,T&D Holdings
sumitomo mitsui trust,Tech Data,Signature Bank,Bank of Jinzhou,Mylan,Metro
china yangtze power,Covivio,Bawag Group,Synnex Technology Intl,Essity Ab,China Longyuan Power
applied materials,CDW,Western Digital,Persimmon,Analog Devices,McCormick
paccar,DTE Energy,Coca-Cola European Partners,Cummins,Suzuken,EnBW-Energie Baden
sysco,Sysco,Target,Cigna,Honeywell International,Lockheed Martin
larsen & toubro,Towngas,Shiseido,Saudi Telecom,Broadcom,TCL
emerson electric,DISH Network,South32,Ecolab,Rogers Communications,Waste Management
samsung c&t,Samsung C&T,MTN Group,Schaeffler,Liberty Global,Recruit Holdings
international paper,Southern Company,Femsa,Julius Baer Group,Nutrien,Occidental Petroleum
halliburton,Halliburton,Eaton,Rite Aid,RTL Group,Netflix
china cinda asset management,Bank Of Shanghai,Hana Financial Group,Credicorp,China Citic Bank,CITIC
daikin industries,Bunzl,China Gezhouba,Idemitsu Kosan,Swatch Group,TransDigm Group
firstrand,London Stock Exchange,Lear,Halyk Bank,Unicaja Banco,Mitsubishi Materials
salesforce.com,Logan Property Holdings,China Merchants Securities,Cemex,Ecolab,Kajima
kia motors,Tokyo Electric Power,Denso,Idemitsu Kosan,Itochu,Hyundai Motor
ck asset holdings,New World Development,Essity Ab,China Galaxy Securities,Synnex Technology Intl,Ajinomoto
consolidated edison,Parker-Hannifin,Rogers Communications,Allergan,The Estée Lauder Companies,Cerner
svenska handelsbanken,Scentre Group,Edison International,Schindler Holding,Northern Trust,Fluor
swire pacific,Tech Data,Shanxi Taigang Stainless,Daqin Railway,Showa Denko,Centrica
general mills,JM Smucker,Diamondback Energy,H&M - Hennes & Mauritz,PVH,Duke Energy
ctbc financial,CTBC Financial,Power Corp of Canada,China Pacific Insurance,Yara International,Infosys
sk innovation,SK Holdings,Midea Group,LG Chem,Taiwan Semiconductor,KDDI
pernod ricard,Industries Qatar,Lam Research,Acciona,US Foods,Shenzhou International Group Holdings
citic securities,Molson Coors Brewing,LG Household & Health Care,Grupo Elektra,ENN Energy Holdings,RMB Holdings
new world development,Synnex Technology Intl,CK Asset Holdings,CNOOC,Essity Ab,China Galaxy Securities
waste management,Public Service Enterprise Group,Digital Realty Trust,SDIC Power Holdings,Bâloise Group,Meritz Financial Group
sempra energy,SBI Holdings,Kellogg,Shenwan Hongyuan Group,US Foods,Stanley Black & Decker
aegon,Aegon,CRRC,CRH,Wesfarmers,Alibaba
state bank of india,Qatar National Bank,Shinsei Bank,Emirates NBD,First Abu Dhabi Bank,Inpex
american international group,American International Group,Manulife,Capital One Financial,Talanx,Travelers
toyota industries,Korean Air,Mitsubishi Heavy Industries,Kyocera,Mitsubishi Electric,Zoetis
vodafone,Expeditors International,Vodafone,UBS,Reliance Industries,Magnit
sampo,Sampo,C.H. Robinson,Banorte,CIT Group,SEB AB
subaru,Quest Diagnostics,Volvo Group,Mondi,China Merchants Port Holdings,Twitter
intercontinentalexchange,IntercontinentalExchange,Vertex Pharmaceuticals,Cimarex Energy,Dai Nippon Printing,Daelim Industrial
lg chem,Formosa Petrochemical,Geely Automobile Holdings,China Jinmao,Midea Group,Xiaomi
fifth third bank,SYNNEX,Hengan International Group,First Republic Bank,Quanta Computer,BNK Financial Group
dell technologies,IBM,Microsoft,Comcast,Amazon,McKesson
sk telecom,Alinma Bank,E-mart,Check Point Software,Annaly Capital Management,CNH Industrial
vtb bank,NAB - National Australia Bank,Lloyds Banking Group,Bank of Montreal,Huaxia Bank,Bank of Nova Scotia
banorte,Banorte,Sampo,Ageas,C.H. Robinson,KBC Group
swiss re,Swiss Re,CNP Assurances,American Express,Johnson Controls International,United Continental Holdings
mitsubishi chemical,Schroders,Klepierre,JFE Holdings,Mitsui,Nippon Steel
centene,Centene,Xerox,American International Group,Travelers,Sun Life Financial
bae systems,Unipol Gruppo,Tatneft,Fastighets Balder,Imperial Brands,Hess
hana financial group,China Cinda Asset Management,Bank Of Shanghai,Brighthouse Financial,Credicorp,CK Asset Holdings
fast retailing,Takeda Pharmaceutical,B3,China Gezhouba,Bunzl,AIB Group
cnh industrial,Nokia,Wilmar International,Broadcom,Towngas,Safran
bank mandiri,Bank Rakyat Indonesia (BRI),YPF,Comerica,Discovery,Huaxia Bank
heidelbergcement,JG Summit Holdings,Starbucks,McDonald's,Kiyo Bank,EOG Resources
hewlett packard enterprise,Eiffage,South32,Thermo Fisher Scientific,E.ON,Emerson Electric
talanx,Talanx,Compass Group,Freddie Mac,Zurich Insurance Group,Wesfarmers
cummins,Thermo Fisher Scientific,NextEra Energy,EnBW-Energie Baden,DTE Energy,Gilead Sciences
orsted,Celanese,Dexia,TransCanada,Twitter,T&D Holdings
wpp,WPP,Rite Aid,Verbund,Bangkok Bank,Cognizant
marsh & mclennan,Marsh & McLennan,BlackRock,Hartford Financial Services,Mastercard,Swiss Life Holding
grupo acs,Intesa Sanpaolo,PKN Orlen,Surgutneftegas,Petrobras,Ulta Beauty
xcel energy,Industries Qatar,Quinenco,Kiyo Bank,Daishi Hokuetsu Financial Group,Lam Research
las vegas sands,Hertz Global Holdings,Union Pacific,Keppel,Sunny Optical Technology Group,AutoNation
ntpc,Bâloise Group,Fidelity National Financial,Meritz Financial Group,Lotte Shopping,Woodside Petroleum
china zheshang bank,Agile Group Holdings,Far East Horizon,Fiserv,Jiangsu Yanghe Brewery,United Overseas Bank
commerzbank,State Street,Experian,Bank of Montreal,US Bancorp,Canadian Imperial Bank
toyota tsusho,LG Electronics,Worldpay,China Shenhua Energy,Aeon,Fairfax Financial
lennar,Lennar,Shanghai International Port,Swiss Life Holding,Swiss Re,Ageas
swedbank,Olam International,Equity Residential,C.H. Robinson,SEB AB,CIT Group
compass group,Compass Group,Talanx,Wesfarmers,International Airlines,American Airlines Group
woolworths,Orange,Raytheon,Merck & Co.,AutoZone,Sabanci Holding
novatek,AAC Technologies Holdings,E-Trade Financial,Essex Property Trust,S-Oil,Taylor Wimpey
national bank of canada,Erste Group Bank,Keyence,Atlassian,M&T Bank,Commerzbank
lg electronics,Midea Group,Fairfax Financial,Toyota Tsusho,Aisin Seiki,Old Mutual
thales,Thales,Isuzu Motors,Coal India,Capgemini,Rite Aid
public service enterprise group,SDIC Power Holdings,Waste Management,CIFI Holdings Group,Meritz Financial Group,Match Group
adobe,Garanti Bank,Pegatron,Corning,Kuwait Finance House,Coca-Cola European Partners
china taiping insurance,CMS Energy,China Longyuan Power,China Merchants Shekou Industrial Zone Holdings,China International Marine,Alliant Energy
te connectivity,Texas Instruments,Stryker,Uni-President,DGB Financial Group,ASML Holding
mitsubishi estate,AGL Energy,NEXON,Sumitomo Realty,VEON,STRABAG
metallurgical corp of china,China Telecom,Huaneng Power International,China Longyuan Power,China Railway Construction,Covivio
emirates nbd,Shinsei Bank,Inpex,Bank Muscat,Qatar National Bank,WR Berkley
kansai electric power,Daiwa Securities,Bridgestone,CGI Group,San ju San Financial Group,Kirin Holdings
ecolab,Cemex,DISH Network,EnBW-Energie Baden,Emerson Electric,China Merchants Securities
dxc technology,Penske Automotive,Republic Services,Wendel,China Resources Cement Holdings,Central Bank of India
m&t bank,Atlassian,Hachijuni Bank,National Bank of Canada,Erste Group Bank,Haidilao International Holding
fujitsu,Yuexiu Property Co.,Eurobank Ergasias,Toray Industries,Banque Centrale Populaire,Shoprite Holdings
constellation brands,Meiji Holdings,China Resources Power,Qurate Retail Group,Hyatt Hotels,Invesco
wesfarmers,Wesfarmers,Compass Group,Alibaba,Aegon,Talanx
clp holdings,Mettler-Toledo International,NARI Technology Development,Zhejiang Chint Electrics,Bawag Group,Huntington Bank
al rajhi bank,Next,Vingroup,First Abu Dhabi Bank,Petronas Chemicals,Wirecard
asahi group holdings,Lenovo Group,Metro,Bank of Jinzhou,China Development Bank Financial Leasing,Mylan
illinois tool works,The Estée Lauder Companies,Consolidated Edison,Parker-Hannifin,Allergan,Tokyo Electron
fujifilm holdings,Yonghui Superstores,New York Community Bancorp,BOE Technology Group,Hikvision,Great Eagle Holdings
saint-gobain,Novartis,Couche Tard,Peugeot,MGM Resorts,Duke Energy
cognizant,Cognizant,Covestro,WPP,Mohawk Industries,Swisscom
tatneft,Hess,Evonik,Bank Hapoalim,Imperial Brands,T&D Holdings
dte energy,Coca-Cola European Partners,NextEra Energy,Corning,Kuwait Finance House,Tokyo Electron
keycorp,Focus Media Information Technology,Guangzhou Rural Commercial Bank,Citizens Financial Group,Valeo,Loews
recruit holdings,Olam International,Liberty Global,Assurant,Roper Technologies,Jiangsu Zhongnan Construction Group
nvidia,China Energy Engineering,Western Digital,Suncorp Group,CDW,Analog Devices
sasol,Sasol,Far Eastern New Century,Vestas Wind Systems,UCB,Publicis Groupe
jfe holdings,Schroders,Klepierre,Mitsubishi Chemical,Proximus,Shin-Etsu Chemical
ebay,Maanshan Iron & Steel,Bank of East Asia,Financial Street Holdings,Telstra,CIFI Holdings Group
mitsubishi heavy industries,Korean Air,Toyota Industries,Kyocera,Mitsubishi Electric,Gree Electric Appliances
citizens financial group,Akzo Nobel,Chunghwa Telecom,KeyCorp,Loews,Steel Dynamics
weichai power,Suning.com,Franklin Resources,Cullen/Frost Bankers,Sabesp,Fortive
nucor,Olympus,China Merchants Port Holdings,Michelin Group,PKO Bank Polski,Subaru
sherwin-williams,Kimberly-Clark,ATOS,Mitsubishi Motors,Celgene,JG Summit Holdings
formosa petrochemical,China Jinmao,Formosa Chemicals,KDDI,BDO Unibank,LG Chem
ally financial,Ally Financial,Yum China Holdings,Discover Financial Services,Charles Schwab,Cleveland-cliffs
murata manufacturing,Rakuten,Manpower,Fidelity National Information,Itaúsa,Takeda Pharmaceutical
northern trust,Experian,Scentre Group,Svenska Handelsbanken,ROSSETI,Edison International
american tower,Shanghai Commercial & Savings Bank,Amcor,L3 Technologies,J.B. Hunt Transport Services,Shanghai Construction
china fortune land development,Datang International Power,Murphy USA,Tenaga Nasional,O'Reilly Automotive,Fubon Financial
cme group,Times Property Holdings,American Equity Investment,Power Finance,RusHydro,Kerry Group
samsung fire & marine,SingTel,National Bank of Kuwait,Poly Developments & Holdings Group,New China Life Insurance,Aareal Bank
deutsche bank,KB Financial Group,Barclays,ING Group,RBC,HDFC Bank
kraft heinz company,Heineken,Cosco Shipping,Bristol-Myers Squibb,Qurate Retail Group,SGS
qingdao haier,Northrop Grumman,Safran,Brambles,Magna International,CNH Industrial
associated british foods,LafargeHolcim,Evonik,Novo Nordisk,JG Summit Holdings,CBS
mtr,SSE,Cintas,Ameren,Aareal Bank,Gecina
tata steel,China National Building,Financiere de l'Odet,Blom Bank,AvalonBay Communities,Siam Cement
bank central asia,BayWa,Scentre Group,Fluor,Akbank,Northern Trust
bank of nanjing,Arch Capital Group,Flex,Kasikornbank,Alaska Air Group,Teva Pharmaceutical
telenor,Transneft,Mizrahi Tefahot Bank,Vivendi,Chongqing Changan Auto,EssilorLuxottica
colgate-palmolive,DISH Network,Illinois Tool Works,Emerson Electric,Rogers Communications,Bankia
boston scientific,Stryker,Baxter International,DGB Financial Group,Mosaic,Ferguson
kimberly-clark,Sherwin-Williams,Amgen,Coca-Cola,Eli Lilly,Mitsubishi Motors
china national building,AvalonBay Communities,Tata Steel,Financiere de l'Odet,Xiaomi,Whirlpool
cbs,Kiyo Bank,AVIC International Holdings,Ingersoll Rand,EOG Resources,Riyad Bank
dollar general,Invitation Homes,Accenture,Mirae Asset Daewoo,CP All,Jefferies Financial
dish network,Emerson Electric,Ecolab,Cemex,Colgate-Palmolive,Rogers Communications
keurig dr pepper,Dubai Islamic Bank,Air Products & Chemicals,Guosen Securities,WEC Energy Group,US Foods
kubota,Hermès International,Hong Kong Exchanges,Oshkosh,Canadian Tire,Great Eagle Holdings
rakuten,Expedia Group,Murata Manufacturing,Itaúsa,Gjensidige Forsikring,Fidelity National Information
merck,Inner Mongolia Yili,McDonald's,Occidental Petroleum,Otsuka Holding,EOG Resources
rogers communications,Consolidated Edison,Shaanxi Coal Industry,Genuine Parts,Parker-Hannifin,Reliance Steel
ppl,Jiangxi Bank,Bajaj Finserv,Match Group,Grupo Bimbo,Welltower
aisin seiki,Taiwan Semiconductor,BDO Unibank,Midea Group,Toshiba,Old Mutual
aon,Aon,Cimarex Energy,Delek Group,Kintetsu,Huatai Securities
sinopharm group,Sinopharm Group,China Unicom,St. James's Place,Samsung Fire & Marine,Poly Developments & Holdings Group
royal caribbean cruises,Technipfmc,Obayashi,Valeo,Colruyt,GAIL India
norilsk nickel,Grupo Mexico,Empire,Galaxy Entertainment,Caesars Entertainment,Edp-energias De Portugal
woori financial group,Oversea-Chinese Banking,ICICI Bank,Maybank,United Overseas Bank,PG&E
kirin holdings,Evergy,San ju San Financial Group,STRABAG,Beijing Capital Development,Kansai Electric Power
nxp semiconductors,Eversource Energy,Teck Resources,Acciona,Pernod Ricard,Ferrari
saudi electricity,Guotai Junan Securities,Roper Technologies,Sasol,Assurant,Jiangsu Zhongnan Construction Group
mckesson,Amazon,Microsoft,Dell Technologies,AmerisourceBergen,Apple
nidec,Sears Holdings,FIBI Holdings,East West Bancorp,Universal Entertainment,Global Payments
omnicom group,CarMax,Logan Property Holdings,DISH Network,CIFI Holdings Group,Schneider Electric
coal india,Bank Of Hangzhou,Thales,China Huarong Asset Management,CSX,Isuzu Motors
relx,RELX,Delek Group,Rockwell Automation,Huatai Securities,Charles Schwab
ingersoll rand,First Citizens Bank,Garmin,American Electric,CBS,Evonik
firstenergy,FMC,Asustek Computer,AVIC International Holdings,China Zhongwang Holdings,Quinenco
anadarko petroleum,Ryanair Holdings,Devon Energy,Canadian Natural Resources,Richemont,Coloplast
korea electric power,Daiwa House Industry,Fanuc,Softbank,Denso,Leonardo
regions financial,Regions Financial,TD Ameritrade Holding,IntercontinentalExchange,Banorte,Ageas
simon property group,Shanghai Construction,J.B. Hunt Transport Services,Olam International,L3 Technologies,Amcor
corning,Pegatron,Coca-Cola European Partners,Kuwait Finance House,Adobe,DTE Energy
the estée lauder companies,Illinois Tool Works,Allergan,Parker-Hannifin,Consolidated Edison,CEZ Group
henderson land,Ajinomoto,Chipotle Mexican Grill,Bank of Queensland,Essity Ab,Samsung SDS
grupo mexico,Norilsk Nickel,Galaxy Entertainment,Empire,Sunny Optical Technology Group,Caesars Entertainment
allergan,Parker-Hannifin,The Estée Lauder Companies,Consolidated Edison,Cerner,CEZ Group
h&m - hennes & mauritz,Shenzhou International Group Holdings,Lincoln National,Diamondback Energy,Mondelēz International,Altria Group
loews,Guangzhou Rural Commercial Bank,Valeo,Ross Stores,KeyCorp,GAIL India
vmware,CBRE Group,Union Bank of India,Analog Devices,Persimmon,Western Digital
best buy,Facebook,Tyson Foods,ABB,Garmin,Danone
air products & chemicals,Keurig Dr Pepper,Dubai Islamic Bank,Nordstrom,Daishi Hokuetsu Financial Group,Ametek
astellas pharma,Waters,VEON,NEXON,ISS,Klepierre
asahi kasei,Sumitomo Realty,Cardinal Health,Evergy,STRABAG,CGI Group
entergy,Riyad Bank,Asr Nederland,Asustek Computer,Tingyi Holding,Kiyo Bank
ageas,Ageas,Banorte,Swiss Life Holding,Aon,Regions Financial
ppg,Celgene,Hanwha,Ametek,American Electric,JG Summit Holdings
shimao property holdings,Hankyu Hanshin Holdings,Daqin Railway,Fubon Financial,Fortum,China Everbright Bank
sumitomo electric,Gree Electric Appliances,Hyundai Mobis,Aisin Seiki,BDO Unibank,East West Bancorp
formosa chemicals,China Jinmao,Kaisa Group Holdings,Liberty Broadband,Nedbank,Formosa Petrochemical
atlantia,Mitsui Chemicals,Melrose Industries Plc,ALFA,Taiwan Business Bank,China Hongqiao Group
kotak mahindra bank,Interactive Brokers Group,Latam Airlines,FirstRand,Grupo Elektra,Micro Focus International
tenaga nasional,Mahindra & Mahindra,Restaurant Brands International,Murphy USA,China Fortune Land Development,Atlas Copco
jd.com,China Communications Construction,United Parcel Service,United Technologies,FedEx,Wilmar International
wheelock,Koito Manufacturing,Advanz Pharma,Advanced Micro Devices,CIMB Group Holdings,Db Insurance
western digital,NVIDIA,Analog Devices,CDW,CBRE Group,Persimmon
industrial bank of korea,Goodyear,Neste,Far East Horizon,Fiserv,Wuliangye Yibin
baxter international,Boston Scientific,Stryker,DGB Financial Group,NiSource,AerCap Holdings
dongfeng motor group,TDK,Weyerhaeuser,Lotte Chemical,Geely Automobile Holdings,Sompo
nintendo,Citrix Systems,Zhejiang Longsheng Group,Accor,Crown Castle International,Macy's
aeon,Carrefour,Fanuc,Fairfax Financial,Itochu,Sompo
coca-cola european partners,Corning,DTE Energy,Pegatron,Adobe,Garanti Bank
vonovia,Inter Rao,Nippon Yusen,Mazda Motor,Live Nation Entertainment,Hang Lung Group
teck resources,NXP Semiconductors,Acciona,Pernod Ricard,Punjab National Bank,Eversource Energy
evonik,Hess,Imperial Brands,Associated British Foods,Nutrien,Tatneft
telus,Financial Street Holdings,National Grid,Ball,Shiseido,Broadcom
rwe group,RWE Group,Power Assets Holdings,Guotai Junan Securities,Henkel,British American Tobacco
devon energy,Anadarko Petroleum,Richemont,Infineon Technologies,Canadian Natural Resources,Ryanair Holdings
bharat petroleum,Atlas Copco,Samsung Life Insurance,Jardine Matheson,Mizuho Financial,CK Hutchison
eversource energy,Acciona,NXP Semiconductors,Coty,Industries Qatar,Punjab National Bank
oneok,EssilorLuxottica,Dexus,Chongqing Changan Auto,Banque Cantonale Vaudoise,Punjab National Bank
td ameritrade holding,TD Ameritrade Holding,Regions Financial,Vertex Pharmaceuticals,Deutsche Boerse,IntercontinentalExchange
edp-energias de portugal,Empire,Galaxy Entertainment,Ulta Beauty,Kobe Steel,Norilsk Nickel
resona holdings,Masraf Al Rayan,Taishin Financial Holdings,Arch Capital Group,Bank of Nanjing,Kasikornbank
sumitomo realty,STRABAG,Beijing Capital Development,Mitsubishi Estate,Asahi Kasei,San ju San Financial Group
